Âge,Ancienneté,Type_abonnement,Facture_moy,Nb_plaintes,Résiliation,Satisfaction
78,61,Postpayé,78.0,2,0,5
55,19,Prépayé,77.06,6,0,4
51,13,Prépayé,319.02,9,1,2
30,37,Prépayé,171.76,9,0,2
42,6,Prépayé,91.88,8,0,3
35,3,Prépayé,92.98,7,0,3
69,52,Postpayé,252.25,5,0,4
70,15,Prépayé,285.48,9,0,2
20,26,Prépayé,216.84,8,0,3
42,66,Postpayé,265.98,1,0,5
52,4,Prépayé,268.48,10,0,2
33,8,Prépayé,234.0,10,1,2
19,48,Postpayé,62.87,6,0,4
53,10,Postpayé,229.48,3,0,5
28,64,Postpayé,359.11,6,0,4
19,22,Prépayé,290.78,7,0,3
73,1,Prépayé,291.88,10,1,2
52,67,Postpayé,157.72,1,0,5
49,22,Prépayé,278.93,9,1,2
58,65,Prépayé,286.57,4,1,4
38,34,Postpayé,94.85,6,0,4
18,72,Postpayé,62.56,4,0,4
31,5,Prépayé,160.21,5,0,4
78,46,Prépayé,308.41,4,0,4
34,2,Prépayé,218.87,5,0,4
22,37,Postpayé,183.3,3,0,5
48,33,Postpayé,80.18,8,0,3
41,16,Postpayé,60.22,4,0,4
21,6,Prépayé,233.69,10,1,2
54,13,Prépayé,174.56,9,1,2
59,47,Postpayé,297.02,5,0,4
21,1,Prépayé,216.84,9,1,2
30,39,Postpayé,249.6,2,1,5
79,63,Postpayé,338.52,8,0,3
46,10,Prépayé,58.81,7,0,3
28,10,Prépayé,74.88,6,0,4
36,18,Prépayé,296.56,3,0,5
18,1,Prépayé,155.38,10,0,2
32,66,Postpayé,176.59,1,0,5
63,69,Postpayé,63.34,6,0,4
26,3,Prépayé,216.37,3,1,5
57,68,Postpayé,61.15,6,0,4
27,6,Postpayé,60.68,7,0,3
50,72,Postpayé,61.93,2,0,5
64,58,Prépayé,313.25,1,0,5
32,45,Prépayé,328.07,8,0,3
49,68,Postpayé,343.82,4,0,4
23,32,Prépayé,310.6,7,1,3
18,1,Prépayé,233.69,7,1,3
32,9,Prépayé,219.96,9,0,2
25,19,Prépayé,77.53,10,0,2
25,60,Postpayé,205.45,6,0,4
34,29,Prépayé,246.17,8,1,3
53,72,Postpayé,355.84,1,0,5
72,43,Prépayé,294.22,4,0,4
43,1,Prépayé,218.09,9,1,2
52,15,Prépayé,238.68,1,0,5
20,3,Prépayé,282.98,5,0,4
40,49,Prépayé,311.38,4,1,4
25,12,Prépayé,279.4,5,0,4
41,1,Prépayé,252.25,4,1,4
41,21,Prépayé,63.96,6,0,4
59,18,Prépayé,233.38,7,0,3
61,72,Postpayé,288.44,1,1,5
55,72,Postpayé,60.22,5,0,4
52,46,Prépayé,233.38,4,0,4
64,7,Prépayé,238.52,8,1,3
40,72,Postpayé,264.26,3,0,5
47,39,Postpayé,62.09,3,0,5
75,72,Postpayé,244.76,4,0,4
18,1,Prépayé,158.34,10,0,2
41,72,Postpayé,62.09,5,0,4
40,6,Prépayé,258.49,10,1,2
45,44,Postpayé,62.09,7,0,3
50,1,Prépayé,65.36,8,1,3
20,18,Postpayé,62.71,7,0,3
31,41,Postpayé,213.72,8,0,3
41,48,Postpayé,63.02,5,0,4
52,72,Postpayé,366.6,6,0,4
28,62,Prépayé,219.8,7,0,3
28,1,Prépayé,60.68,6,0,4
47,11,Prépayé,246.48,4,0,4
56,12,Prépayé,254.9,9,1,2
35,35,Prépayé,269.72,7,1,3
37,17,Prépayé,220.9,7,0,3
25,34,Postpayé,246.32,8,0,3
41,59,Postpayé,281.74,6,0,4
30,41,Postpayé,207.48,6,1,4
56,35,Postpayé,79.4,8,0,3
18,72,Postpayé,250.22,6,0,4
63,24,Prépayé,170.98,7,0,3
30,43,Postpayé,202.33,1,0,5
27,10,Prépayé,295.93,5,1,4
35,28,Postpayé,187.2,4,0,4
74,43,Prépayé,281.58,5,0,4
28,72,Postpayé,63.18,5,0,4
29,24,Postpayé,175.5,6,0,4
22,9,Prépayé,218.56,7,0,3
23,6,Prépayé,152.72,8,0,3
35,46,Postpayé,95.94,7,0,3
44,57,Postpayé,64.43,6,0,4
63,68,Prépayé,312.62,9,1,2
70,24,Postpayé,301.24,7,0,3
38,26,Prépayé,261.3,10,1,2
45,1,Prépayé,173.32,9,0,2
43,72,Postpayé,329.32,6,0,4
63,33,Prépayé,251.47,8,1,3
38,39,Postpayé,155.38,2,0,5
46,9,Prépayé,236.65,6,0,4
39,41,Postpayé,110.45,10,0,2
33,71,Postpayé,304.67,2,0,5
53,22,Postpayé,64.74,3,0,5
57,72,Postpayé,256.78,0,0,5
78,13,Prépayé,302.17,8,0,3
47,68,Postpayé,79.56,4,0,4
44,1,Prépayé,139.15,8,0,3
26,70,Postpayé,61.78,6,0,4
59,68,Postpayé,181.74,6,0,4
58,37,Prépayé,125.42,4,1,4
19,41,Postpayé,61.46,3,0,5
60,4,Prépayé,235.09,10,0,2
36,4,Prépayé,275.96,8,1,3
27,72,Postpayé,323.39,10,0,2
50,23,Postpayé,61.78,7,0,3
42,15,Postpayé,78.16,7,0,3
32,13,Prépayé,142.12,5,1,4
44,5,Prépayé,63.96,5,0,4
35,46,Postpayé,220.27,1,0,5
39,12,Postpayé,104.83,1,0,5
25,44,Postpayé,60.84,4,0,4
56,68,Prépayé,140.24,0,0,5
19,1,Prépayé,62.09,4,1,4
33,30,Postpayé,61.78,4,0,4
43,41,Postpayé,320.11,4,1,4
45,14,Prépayé,265.67,7,1,3
30,59,Prépayé,295.62,9,0,2
49,56,Postpayé,61.0,3,0,5
67,11,Prépayé,264.58,5,1,4
43,54,Postpayé,336.96,3,0,5
25,36,Postpayé,174.1,7,0,3
38,16,Postpayé,61.62,8,0,3
59,30,Postpayé,252.1,6,0,4
38,46,Prépayé,227.14,10,0,2
33,25,Prépayé,169.42,5,0,4
69,8,Prépayé,236.34,5,1,4
38,57,Prépayé,203.42,2,0,5
80,72,Postpayé,364.26,2,0,5
65,35,Prépayé,220.12,8,0,3
56,1,Prépayé,141.65,9,1,2
43,6,Prépayé,235.56,10,1,2
28,45,Postpayé,80.81,8,0,3
75,1,Prépayé,141.02,10,0,2
52,72,Postpayé,264.26,0,0,5
56,72,Postpayé,173.63,6,0,4
19,9,Prépayé,141.65,4,1,4
80,49,Postpayé,280.33,7,0,3
45,23,Prépayé,259.58,3,0,5
39,35,Prépayé,285.48,2,0,5
58,5,Prépayé,134.94,1,1,5
45,13,Prépayé,262.24,4,1,4
44,45,Prépayé,156.78,6,0,4
29,12,Prépayé,231.35,5,0,4
23,72,Postpayé,65.99,5,0,4
46,1,Prépayé,60.53,7,0,3
55,37,Prépayé,246.17,0,0,5
20,45,Postpayé,58.81,2,0,5
53,9,Prépayé,295.93,1,1,5
46,15,Prépayé,316.21,5,1,4
53,1,Prépayé,295.15,9,1,2
62,22,Prépayé,266.29,9,0,2
24,2,Prépayé,252.56,7,1,3
72,60,Postpayé,223.86,5,0,4
44,26,Prépayé,215.44,6,0,4
39,15,Postpayé,61.31,5,0,4
48,35,Prépayé,249.76,4,0,4
71,42,Prépayé,326.82,10,1,2
26,43,Postpayé,175.81,4,0,4
23,11,Prépayé,318.24,5,1,4
25,37,Postpayé,282.67,4,0,4
34,65,Postpayé,335.87,0,0,5
31,1,Prépayé,144.46,4,1,4
56,16,Prépayé,203.42,6,1,4
56,72,Postpayé,214.5,8,0,3
48,1,Prépayé,77.69,6,0,4
36,4,Prépayé,132.29,6,0,4
42,72,Postpayé,202.02,1,0,5
43,30,Postpayé,282.05,5,0,4
24,5,Prépayé,266.14,8,0,3
46,53,Postpayé,299.36,7,0,3
61,1,Prépayé,78.78,10,1,2
26,3,Prépayé,172.69,8,1,3
59,3,Prépayé,280.33,0,0,5
67,67,Prépayé,316.37,10,0,2
44,23,Postpayé,178.46,1,0,5
41,72,Postpayé,235.25,10,0,2
26,26,Prépayé,138.68,6,0,4
66,71,Postpayé,280.33,5,0,4
31,68,Postpayé,280.64,10,0,2
29,2,Prépayé,236.81,8,1,3
25,64,Postpayé,282.67,1,0,5
36,22,Prépayé,63.8,6,0,4
78,27,Postpayé,326.51,5,0,4
24,60,Prépayé,323.7,5,0,4
33,51,Postpayé,186.89,5,0,4
30,8,Prépayé,265.04,6,1,4
46,7,Prépayé,221.68,8,0,3
28,24,Postpayé,61.46,5,0,4
45,24,Postpayé,65.68,3,0,5
80,39,Prépayé,298.43,6,1,4
59,4,Prépayé,109.2,7,0,3
54,17,Postpayé,60.37,7,0,3
24,15,Postpayé,78.62,3,0,5
72,70,Postpayé,235.56,4,0,4
43,1,Prépayé,248.35,7,1,3
23,34,Postpayé,191.1,6,0,4
48,26,Prépayé,247.42,6,0,4
32,55,Postpayé,63.96,5,0,4
56,27,Prépayé,281.27,5,0,4
55,26,Postpayé,157.09,8,0,3
47,39,Prépayé,228.23,9,0,2
68,20,Prépayé,222.46,7,1,3
22,24,Prépayé,167.23,3,0,5
19,68,Postpayé,281.42,2,0,5
65,16,Prépayé,231.82,7,1,3
42,1,Prépayé,221.83,4,0,4
36,70,Postpayé,159.28,3,0,5
75,3,Prépayé,249.29,8,1,3
19,24,Prépayé,309.82,10,1,2
56,72,Postpayé,286.88,1,0,5
20,1,Prépayé,61.62,8,0,3
55,31,Postpayé,155.53,6,0,4
48,1,Prépayé,77.38,9,1,2
45,50,Postpayé,310.13,2,0,5
29,61,Postpayé,276.59,3,0,5
79,11,Prépayé,219.02,10,0,2
27,2,Prépayé,142.12,6,0,4
80,64,Prépayé,232.91,6,0,4
49,18,Postpayé,125.42,0,0,5
32,45,Postpayé,79.56,2,0,5
21,31,Prépayé,186.26,8,0,3
42,61,Postpayé,75.19,7,0,3
64,31,Prépayé,229.48,10,0,2
26,57,Postpayé,62.09,5,0,4
29,28,Postpayé,282.2,5,0,4
43,37,Postpayé,204.67,5,0,4
25,46,Postpayé,321.83,2,0,5
19,19,Prépayé,62.09,8,0,3
19,63,Postpayé,64.27,2,0,5
30,69,Postpayé,247.88,0,0,5
34,19,Postpayé,278.77,3,0,5
24,31,Prépayé,261.61,8,0,3
80,18,Postpayé,63.49,6,0,4
34,44,Prépayé,156.47,6,0,4
73,1,Prépayé,219.34,4,1,4
27,1,Prépayé,280.49,10,1,2
30,11,Prépayé,111.7,6,0,4
56,22,Postpayé,65.05,8,0,3
19,23,Prépayé,262.86,9,0,2
40,37,Postpayé,249.76,10,0,2
40,46,Postpayé,126.05,4,0,4
31,20,Postpayé,60.37,4,0,4
54,1,Prépayé,158.5,6,1,4
35,58,Postpayé,236.5,3,0,5
32,71,Postpayé,296.87,2,0,5
56,29,Postpayé,221.52,7,0,3
43,64,Postpayé,253.66,2,0,5
64,1,Prépayé,229.79,4,1,4
59,1,Prépayé,62.56,5,1,4
24,70,Postpayé,188.29,4,0,4
52,13,Postpayé,62.24,8,0,3
32,57,Prépayé,122.62,4,1,4
64,57,Postpayé,316.06,1,0,5
33,6,Postpayé,62.71,7,0,3
63,63,Postpayé,112.63,0,0,5
23,8,Prépayé,59.9,3,0,5
43,23,Postpayé,150.85,5,1,4
56,40,Postpayé,156.78,6,0,4
54,59,Postpayé,79.4,6,0,4
41,18,Postpayé,62.71,4,0,4
59,17,Prépayé,283.76,7,0,3
71,46,Prépayé,265.2,5,1,4
55,16,Prépayé,63.65,3,0,5
49,22,Prépayé,259.12,9,0,2
25,62,Postpayé,252.72,1,0,5
50,56,Postpayé,168.64,4,0,4
69,5,Prépayé,252.72,10,1,2
32,72,Postpayé,269.57,5,0,4
23,9,Prépayé,140.87,9,1,2
23,66,Postpayé,361.3,4,0,4
42,28,Prépayé,301.39,9,0,2
40,56,Postpayé,277.37,8,0,3
47,1,Prépayé,143.05,8,1,3
73,24,Prépayé,321.2,5,1,4
27,51,Postpayé,64.43,4,0,4
48,4,Prépayé,191.72,1,1,5
27,23,Postpayé,186.26,4,0,4
43,30,Postpayé,269.72,5,0,4
53,61,Postpayé,64.12,4,0,4
36,31,Postpayé,65.21,6,0,4
35,1,Prépayé,217.15,4,1,4
43,4,Prépayé,63.49,3,1,5
23,14,Prépayé,238.52,8,0,3
50,50,Postpayé,325.73,10,0,2
38,6,Prépayé,215.59,9,0,2
52,15,Prépayé,268.01,4,1,4
49,54,Postpayé,218.87,9,1,2
63,52,Prépayé,345.54,5,0,4
31,30,Prépayé,312.62,7,1,3
23,3,Prépayé,156.47,8,1,3
56,31,Prépayé,169.57,5,0,4
79,58,Prépayé,141.34,5,1,4
30,72,Postpayé,187.2,0,0,5
50,15,Prépayé,160.84,8,1,3
55,14,Postpayé,173.78,3,0,5
80,1,Prépayé,232.28,7,1,3
48,60,Postpayé,74.72,4,0,4
33,21,Postpayé,61.78,3,0,5
65,33,Prépayé,313.87,8,0,3
26,65,Postpayé,280.02,8,1,3
72,67,Postpayé,190.16,6,0,4
70,9,Prépayé,263.48,10,1,2
74,28,Postpayé,159.12,7,0,3
54,32,Prépayé,308.41,6,0,4
21,68,Postpayé,322.14,7,0,3
25,26,Postpayé,281.11,4,0,4
31,3,Prépayé,138.22,5,1,4
19,69,Postpayé,81.12,5,0,4
48,36,Prépayé,296.4,5,0,4
33,52,Postpayé,197.34,10,0,2
69,34,Postpayé,200.3,2,0,5
26,50,Postpayé,338.68,2,1,5
63,30,Postpayé,233.53,10,0,2
49,69,Postpayé,79.87,7,0,3
18,4,Prépayé,285.95,4,1,4
21,67,Postpayé,264.58,5,0,4
57,14,Prépayé,221.52,9,1,2
40,53,Postpayé,64.9,7,1,3
67,72,Postpayé,342.42,4,0,4
47,46,Postpayé,62.24,2,0,5
31,71,Postpayé,61.93,5,0,4
20,22,Prépayé,246.01,4,0,4
53,17,Prépayé,246.17,10,0,2
78,32,Prépayé,299.99,6,1,4
21,9,Prépayé,215.44,9,0,2
46,23,Postpayé,77.38,5,0,4
42,47,Postpayé,229.63,9,0,2
57,60,Postpayé,251.47,1,0,5
30,50,Prépayé,123.08,8,0,3
65,66,Postpayé,330.56,1,1,5
70,54,Postpayé,344.6,5,0,4
47,72,Postpayé,75.19,7,0,3
24,1,Prépayé,247.57,8,1,3
38,1,Prépayé,137.75,10,0,2
46,16,Postpayé,212.94,6,0,4
20,34,Prépayé,202.8,0,0,5
51,3,Prépayé,261.3,9,1,2
33,12,Prépayé,246.32,7,1,3
80,5,Prépayé,231.97,7,1,3
39,1,Prépayé,158.03,9,1,2
79,59,Prépayé,156.78,10,0,2
42,26,Prépayé,251.16,0,1,5
51,1,Prépayé,63.34,3,0,5
48,71,Postpayé,326.51,10,0,2
59,63,Postpayé,59.75,7,0,3
49,18,Prépayé,63.8,5,0,4
28,14,Prépayé,268.32,2,0,5
22,64,Postpayé,289.69,7,0,3
34,56,Postpayé,305.76,4,0,4
52,26,Postpayé,124.64,4,0,4
25,54,Postpayé,203.74,9,0,2
33,3,Prépayé,174.1,5,0,4
55,2,Prépayé,108.26,8,1,3
35,40,Prépayé,246.01,3,0,5
50,28,Postpayé,281.11,9,1,2
40,22,Prépayé,326.35,4,0,4
22,69,Postpayé,74.72,3,0,5
24,27,Prépayé,155.53,5,0,4
42,71,Postpayé,208.42,5,0,4
27,62,Postpayé,220.74,4,0,4
35,1,Prépayé,60.22,2,0,5
59,37,Postpayé,61.78,3,0,5
42,49,Postpayé,175.66,0,0,5
78,41,Prépayé,168.32,8,0,3
36,63,Prépayé,337.74,8,0,3
57,17,Prépayé,275.34,6,1,4
35,1,Prépayé,60.68,5,1,4
63,55,Prépayé,308.26,7,1,3
35,22,Prépayé,216.06,8,1,3
23,15,Postpayé,143.21,4,0,4
45,35,Prépayé,60.06,5,0,4
57,1,Prépayé,63.02,2,1,5
38,69,Postpayé,111.54,7,0,3
51,63,Prépayé,254.44,9,0,2
21,58,Postpayé,294.22,8,0,3
47,66,Postpayé,79.4,4,0,4
21,43,Prépayé,309.82,9,0,2
46,26,Prépayé,121.21,4,0,4
18,56,Postpayé,321.98,0,0,5
60,68,Prépayé,299.21,4,0,4
25,18,Prépayé,174.56,4,0,4
40,34,Prépayé,195.47,3,1,5
64,38,Prépayé,77.53,6,0,4
39,2,Postpayé,185.64,6,0,4
23,20,Postpayé,122.93,1,0,5
39,64,Postpayé,218.87,3,0,5
78,56,Postpayé,295.78,7,0,3
33,68,Postpayé,63.96,2,0,5
51,17,Prépayé,319.96,5,0,4
32,46,Postpayé,62.24,3,0,5
66,28,Prépayé,331.19,4,1,4
26,2,Prépayé,176.9,7,1,3
43,65,Prépayé,340.55,0,1,5
41,17,Prépayé,278.93,7,1,3
71,51,Postpayé,293.28,8,0,3
29,60,Prépayé,280.49,6,0,4
31,16,Prépayé,230.41,6,1,4
67,24,Prépayé,246.01,6,1,4
27,1,Prépayé,173.78,6,1,4
40,71,Postpayé,241.33,0,0,5
43,53,Postpayé,324.64,6,0,4
50,18,Prépayé,189.07,5,0,4
27,67,Postpayé,332.59,2,0,5
69,4,Prépayé,294.22,5,1,4
24,10,Prépayé,92.04,5,1,4
26,43,Postpayé,75.66,6,0,4
33,43,Prépayé,251.0,4,0,4
35,60,Postpayé,167.23,5,0,4
29,1,Prépayé,236.81,5,1,4
20,7,Prépayé,282.2,4,1,4
36,21,Prépayé,280.96,6,0,4
71,1,Prépayé,156.47,4,1,4
48,5,Prépayé,232.91,9,0,2
32,36,Postpayé,289.85,1,0,5
79,53,Postpayé,187.36,0,1,5
69,1,Prépayé,232.28,10,1,2
33,53,Postpayé,294.68,0,0,5
20,50,Postpayé,236.18,7,0,3
19,66,Postpayé,324.64,2,1,5
22,54,Postpayé,186.58,9,0,2
34,28,Prépayé,61.0,2,0,5
24,4,Prépayé,141.34,4,1,4
36,41,Prépayé,357.24,4,1,4
22,30,Prépayé,206.86,3,0,5
72,1,Prépayé,78.62,9,1,2
19,54,Prépayé,341.8,6,0,4
31,8,Postpayé,61.15,6,0,4
71,55,Postpayé,354.43,5,0,4
43,63,Postpayé,60.84,3,0,5
30,68,Postpayé,248.35,6,0,4
52,2,Prépayé,223.55,10,0,2
38,6,Postpayé,64.27,8,0,3
34,13,Prépayé,234.0,8,1,3
59,72,Postpayé,234.31,5,0,4
37,17,Postpayé,301.55,4,0,4
70,15,Prépayé,232.13,5,1,4
61,65,Prépayé,297.8,9,0,2
21,58,Postpayé,63.34,3,0,5
72,68,Prépayé,264.11,8,0,3
29,66,Postpayé,181.58,0,0,5
76,70,Prépayé,283.45,9,0,2
23,19,Prépayé,123.86,8,0,3
42,17,Postpayé,170.35,3,0,5
30,22,Prépayé,314.34,6,1,4
76,48,Postpayé,308.88,5,0,4
45,63,Postpayé,282.2,9,0,2
53,67,Postpayé,290.63,7,0,3
65,67,Postpayé,334.0,10,0,2
38,67,Postpayé,78.78,7,0,3
52,4,Prépayé,314.65,1,0,5
34,40,Postpayé,220.74,1,0,5
50,5,Prépayé,324.79,10,1,2
44,30,Prépayé,280.49,3,0,5
59,70,Postpayé,360.52,6,1,4
18,72,Postpayé,77.69,5,0,4
30,1,Prépayé,151.63,10,0,2
44,1,Prépayé,275.65,7,1,3
66,59,Postpayé,247.1,4,0,4
28,68,Postpayé,258.96,5,1,4
34,53,Postpayé,331.03,5,1,4
76,8,Prépayé,231.04,7,0,3
36,7,Prépayé,244.92,6,0,4
30,2,Prépayé,60.53,4,0,4
59,47,Postpayé,62.09,8,0,3
30,2,Prépayé,281.89,7,0,3
42,51,Prépayé,251.94,6,0,4
33,18,Prépayé,213.25,6,0,4
59,33,Postpayé,63.49,6,0,4
56,60,Postpayé,78.0,5,0,4
36,72,Postpayé,358.49,0,0,5
54,1,Prépayé,151.16,4,0,4
53,48,Postpayé,82.06,2,0,5
19,7,Prépayé,107.64,0,1,5
58,53,Postpayé,76.75,8,0,3
74,46,Postpayé,186.89,6,1,4
37,11,Postpayé,170.35,6,0,4
62,2,Prépayé,297.96,8,0,3
58,58,Postpayé,345.23,7,0,3
48,2,Prépayé,62.24,6,0,4
29,70,Postpayé,185.64,6,0,4
33,7,Postpayé,216.68,10,0,2
